descripcion;codEdif;latitud;longitud;grupo;sigla
COMEDOR UNICERSITARIO;292;-17.775615;-63.198539;Oficinas Administrativas;COMEDOR UNICERSITARI
ESTACIONAMIENTO GENERAL;294;-17.776145;-63.197362;Oficinas Administrativas;ESTACIO GENERAL
CANCHA 1;294;-17.776376;-63.197387;Oficinas Administrativas;CANCHA 1
CANCHA 2;294;-17.776511;-63.19741;Oficinas Administrativas;CANCHA 2
DEPARTAMENTO DE EDUCACION A DISTANCIA Y TECNOLOGIA EDUCATIVA DEDTE;126;-17.778044;-63.191087;Oficinas Administrativas;DEDTE
DEFENSOR UNIVERSITARIO;126;-17.778208;-63.191071;Oficinas Administrativas;DEFENSOR UNIVERSITAR
INFORMACION CUP-PSA;145;-17.778685;-63.190615;Oficinas Administrativas;SECCION NF. CUP-PSA
VICERRECTORADO;90;-17.778333;-63.191472;Oficinas Administrativas;VICERRECTORADO
CLINICA ODONTOLOGICA;91;-17.777989;-63.190801;Oficinas Administrativas;CLINICA ODONTOLOGICA
UNIDAD DE POSTGRADO DE CIENCIAS EXACTAS Y TECNOLOGÍA;93;-17.778037;-63.190458;Oficinas Administrativas;PTGRDO FAC. TEC.
ESTACIONAMIENTO DE LA FCET;95;-17.778404;-63.191101;Oficinas Administrativas;ESTACIO. FCET
UNIDAD DE POSTGRADO DE LA FACULTAD DE HUMANIDADES;0;-17.77632;-63.19096;Oficinas Administrativas;PTGRDO FAC. HUM
DIRECCION UNIVERSITARIA DE INVESTIGACION DUI;150;-17.776472;-63.190828;Oficinas Administrativas;DUI
DIRECCION DE INVESTIGACION DICIF;150;-17.776491;-63.190886;Oficinas Administrativas;DICIT
DECANATO DE FACULTAD DE CIENCIA DE LA SALUD HUMANA;0;-17.776702;-63.190942;Oficinas Administrativas;DECA. FACULTAD CSH
UNIDAD DE POSTGRADO DE LA SALUD HUMANA;0;-17.776695;-63.190845;Oficinas Administrativas;PTGRO FAC. SALUD
DIRECCION DE CARRERA DE INGENIERIA INDUSTRIAL;0;-17.775283;-63.194561;Oficinas Administrativas;CARR. ING. INDUSTR
VICEDECANATO FACULTAD DE CIENCIAS EXACTAS Y TECNOLOGIA;0;-17.775519;-63.195685;Oficinas Administrativas;VICEDECANATO FCET
DIRECCION DE LA CARRERA DE INGENIERIA EN CONTROL DE PROCESOS QUIMICA INDUSTRIAL;0;-17.775511;-63.195682;Oficinas Administrativas;CARR: ING CTRL PROCE
DIRECCION DE LA CARRERA DE INGENIERIA PETROLERA;0;-17.775515;-63.195688;Oficinas Administrativas;CARR. ING. PETROLERA
DECANATO DE LA FACULTAD DE CIENCIAS EXACTA Y TECNOLOGIAS FGET;0;-17.775455;-63.195742;Oficinas Administrativas;DECA. FACULTAD  FCET
DIRECCION DE LA CARRERA DE INGENIERIA QUIMICA;0;-17.775459;-63.195744;Oficinas Administrativas;CARR. ING. QUIMICA
DIRECCION DE LA CARRERA DE INGENIERIA EN ALIMENTOS;0;-17.775514;-63.195702;Oficinas Administrativas;CARR. ING. ALIMENTOS
DIRECCION DE LA CARRERA DE INGENIERIA AMBIENTAL;0;-17.775515;-63.195705;Oficinas Administrativas;CARR. ING. AMBIENTAL
DIRECCION DE LA CARRERA DE INGENIERIA CIVIL;0;-17.775519;-63.195708;Oficinas Administrativas;CARR. ING. CIVIL
DIRECCION DE LA CARRERA DE INGENIERIA ELECTROMECANICA;0;-17.775528;-63.195659;Oficinas Administrativas;CARR. ING. ELECTROME
DIRECCION DE LA CARRERA DE COMERCIO INTERNACIONAL;0;-17.77553;-63.195601;Oficinas Administrativas;CARR. COMERCION INTE
ESTACIONAMIENTO FCET;0;-17.775043;-63.1956;Oficinas Administrativas;ESTACIONA. FCET
DIRECCION DE LA CARRERA GESTION DEL TURISMO;151;-17.777784;-63.191545;Oficinas Administrativas;CARR. GESTION DE TUR
JEFATURA MUSEO NOEL KENF MERCADO;152;-17.777531;-63.191661;Oficinas Administrativas;MUSEO NOEL KENF M.
DIRECCION DE TECNOLOGIAS DE LA INF, Y COMUNICACIÓN. DTIC;9001;-17.777146;-63.190794;Oficinas Administrativas;DTIC
DEPARTAMENTOS;9001;-17.777186;-63.190777;Oficinas Administrativas;SECCION TITULOS
VENTANILLAS AUXILIARES;9001;-17.777284;-63.190729;Oficinas Administrativas;VENTANILLAS AUXILIAR
INFORMACION;9002;-17.777426;-63.190579;Oficinas Administrativas;INFORMACION
DEPARTAMENTO DE TRAMITE REGISTRO Y TITULOS;9002;-17.7775;-63.190551;Oficinas Administrativas;DPTO. REG. Y TITULO
CERTIFICADO NO DEUDOR;9002;-17.777348;-63.190401;Oficinas Administrativas;CERTIF. NO DEUDO
FEDERACION UNIVERSITARIA DE AUXILIARES DE DOCENCIA;9002;-17.777362;-63.190439;Oficinas Administrativas;FUAD
ADMINISTRACION PREDIOS DEL CAMPUS UNIVERSITARIOS;9003;-17.777269;-63.190394;Oficinas Administrativas;ADMI. CAMPUS
DIRECCION DE CARRERA INGENIERIA INFORMATICA;236;-17.776183;-63.195021;Oficinas Administrativas;ING. INFORMATICA
DIRECCION DE CARRERA INGENIERIA EN SISTEMAS;236;-17.776183;-63.195021;Oficinas Administrativas;CARR. ING. DE SIST.
DIRECCION DE CARRERA INGENIERIA EN REDES Y TELECOMUNICACIONES;236;-17.776183;-63.195021;Oficinas Administrativas;CARR. ING. EN REDES
DECANATO DE LA FACULTAD DE CIENCIAS DE LA COMPUTACION Y TELECOMUNICACIONES FICCT;236;-17.776183;-63.195021;Oficinas Administrativas;DECANATO FICCT
UNIDAD DE POSTGRADO E LA FACULTAD DE CIENCIAS DE LA COMPUTACION Y TELECOMUNICACIONES FICCT;236;-17.776844;-63.195632;Oficinas Administrativas;PTGRDO FICCT
Modulo 117;117;-17.777068;-63.191645;Aulas y Laboratorios;Modulo 117
Modulo 122;122;-17.778244;-63.190365;Aulas y Laboratorios;Modulo 122
Modulo 123;123;-17.778438;-63.190318;Aulas y Laboratorios;Modulo 123
Modulo 124;124;-17.778474;-63.190523;Aulas y Laboratorios;Modulo 124
Modulo 125;125;-17.778658;-63.190463;Aulas y Laboratorios;Modulo 125
Modulo 126;126;-17.77808;-63.19108;Aulas y Laboratorios;Modulo 126
Modulo 127;127;-17.778224;-63.190798;Aulas y Laboratorios;Modulo 127
Modulo 128;128;-17.777548;-63.190964;Aulas y Laboratorios;Modulo 128
Modulo 145;145;-17.778875;-63.190396;Aulas y Laboratorios;Modulo 145
Modulo 146;146;-17.777198;-63.191485;Aulas y Laboratorios;Modulo 146
Modulo 150;150;-17.776531;-63.190607;Aulas y Laboratorios;Modulo 150
Modulo 151;151;-17.777867;-63.19161;Aulas y Laboratorios;Modulo 151
Modulo 153;153;-17.777421;-63.191203;Aulas y Laboratorios;Modulo 153
Modulo 165;165;-17.776869;-63.191178;Aulas y Laboratorios;Modulo 165
Modulo 175;175;-17.775502;-63.191272;Aulas y Laboratorios;Modulo 175
Modulo 212;212;-17.775594;-63.193736;Aulas y Laboratorios;Modulo 212
Modulo 213;213;-17.776334;-63.193672;Aulas y Laboratorios;Modulo 213
Modulo 214;214;-17.776667;-63.193803;Aulas y Laboratorios;Modulo 214
Modulo 224;224;-17.775246;-63.194516;Aulas y Laboratorios;Modulo 224
Modulo 225;225;-17.775587;-63.194741;Aulas y Laboratorios;Modulo 225
Modulo 228;228;-17.776881;-63.194884;Aulas y Laboratorios;Modulo 228
Modulo 229;229;-17.776992;-63.194475;Aulas y Laboratorios;Modulo 229
Modulo 233;233;-17.774549;-63.195329;Aulas y Laboratorios;Modulo 233
Modulo 236;236;-17.776487;-63.195077;Aulas y Laboratorios;Modulo 236
Modulo 244;244;-17.77545;-63.195543;Aulas y Laboratorios;Modulo 244
Modulo 246;246;-17.776925;-63.195924;Aulas y Laboratorios;Modulo 246
Modulo 247;247;-17.777072;-63.195956;Aulas y Laboratorios;Modulo 247
Modulo 255;255;-17.776116;-63.196554;Aulas y Laboratorios;Modulo 255
Modulo 256;256;-17.776314;-63.196269;Aulas y Laboratorios;Modulo 256
Modulo 264;264;-17.77633;-63.196951;Aulas y Laboratorios;Modulo 264
Modulo 265;265;-17.776681;-63.196732;Aulas y Laboratorios;Modulo 265
Modulo 283;283;-17.776046;-63.198198;Aulas y Laboratorios;Modulo 283
Modulo 284;284;-17.77628;-63.19812;Aulas y Laboratorios;Modulo 284
